From	To
IPI00216794	Q8IUN9
IPI00880140	Q5QGZ9
IPI00409688	Q2HXU8
IPI00328246	A8K6B9
IPI00328246	Q8NC01
IPI00009457	Q9P126
IPI00464954	Q9UHP7
IPI00455070	P0C7M8
IPI00299937	Q9UMR7
IPI00102814	B3KV04
IPI00102814	Q8WTT0
IPI00329001	Q8WXI8
IPI00003869	Q9ULY5
IPI00243602	Q08G24
IPI00243602	B7ZKQ2
IPI00243602	Q6UXB4
IPI00385903	Q9H2X3
IPI00001675	Q9NY25
IPI00001675	A4D1U7
IPI00455618	Q6EIG7
IPI00411381	Q9BXN2
IPI00176843	Q6UXN8
IPI00218064	Q8IZS7
IPI00024272	B5TY34
IPI00024272	P98153
IPI00024272	B7Z8B7
IPI00024272	Q8IWC8
IPI00411721	Q6ZS10
IPI00009061	A8K212
IPI00009061	O75889
IPI00009061	Q6NSY2
IPI00009061	Q9UNG0
IPI00009061	B4DJJ2
IPI00032471	Q12918
IPI00032471	A8K7K7
IPI00001517	P26715
IPI00746231	Q3KQS7
IPI00219135	Q07444
IPI00221061	Q13241
IPI00748823	Q9NZS2
IPI00153018	Q96E93
IPI00394851	A4D1S0
IPI00418125	Q6UX15
IPI00001759	P78380
IPI00064607	Q96KG7
IPI00064606	A6BM72
IPI00154858	Q5VY43
IPI00066367	B4DQC2
IPI00066367	Q14162
IPI00066367	A8K6Z5
IPI00004946	Q9H2A7
IPI00419565	Q0PNF2
IPI00419565	Q9NY15
IPI00292579	Q8WWQ8
IPI00789911	O60449
IPI00027848	Q0Z8D6
IPI00027848	B4DLK9
IPI00027848	P22897
IPI00473066	B9EJA8
IPI00005707	Q9UBG0
IPI00105353	Q13018

